Anon Student Id,Session Id,Time,KC_Model(MATHia),Level (Section),Problem Name,Step Name,Attempt At Step,Help Level,Selection,Action,Input,Outcome,CF (Rule Id),CF (Semantic Event ID),CF (Etalon),CF (Skill Previous p-Known),CF (Skill New p-Known),CF (Module),CF (Workspace Encounter),CF (Workspace Variant),CF (Workspace Progress Status),CF (Skill Opportunity),cf_school_id,cf_class_id,"Selection <- ifelse(Action == ""Done Button"", ""Done Button"", NA)",Monitor,Attempt_Count
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,a471f3ee-c778-40e6-97ad-37c452c3f56a,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,7d64fcfd-6b1f-47a0-8055-8dabe9bf4059,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,5,0,,Attempt,"{value=elephant, escape-in-messages=true}",JIT,Student entered first JIT answer,a1d3b2cb-d851-40aa-9f90-cb3ee6ed7b23,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,603e2c18-ceba-4f62-b4d8-383f130d52a8,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,5bb3b9c5-8afa-4fe4-9e08-02a896347494,{value=strawberry},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:24:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,3,,Hint Level Change,,HINT_LEVEL_CHANGE,,d6397e84-2c72-4690-959e-b2d0c8c30911,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:24:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,c7dcb734-1f1e-46a4-8422-9b2a455a41fd,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:25:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,04194c3b-b11f-4c42-898c-f39134060834,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:25:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,6,0,,Attempt,"{value=idj, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",a7cfc469-c7cc-43e9-81e1-6d8e86eddf9e,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:26:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,7,0,,Attempt,"{value=idk, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",a9698aa4-1e00-4e1a-ada6-6aaa86e03b8c,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:26:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,1e11b9d8-daec-449a-b189-e950e34f6ab2,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:27:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,e336710e-fb81-45a7-919d-424516d511bc,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:28:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,a68fc535-c21c-40d8-88d0-817068256d22,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
